@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka-VBI mewah-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI xl-SYM of-FW the-FW ',SAMSUNG,UNCATEGORIZED
'suka-VBI serius-JJ terjun-VBT windows-FW ',SAMSUNG,UNCATEGORIZED
'bagus-IN ',SAMSUNG,UNCATEGORIZED
'suka-VBI taknak-NEG iphone-NNP ',SAMSUNG,UNCATEGORIZED
'suka-VBI sempurna-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-IN ',SAMSUNG,UNCATEGORIZED
'baru-JJ samsung-JJ suka-VBI ',SAMSUNG,UNCATEGORIZED
'benci-VBI samsung-SC ',SAMSUNG,UNCATEGORIZED
'suka-VBI trinkets-CDP ',SAMSUNG,UNCATEGORIZED
'untung-IN ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'siap-JJ cpu-NNP ',SAMSUNG,UNCATEGORIZED
'pulih-RB ',SAMSUNG,UNCATEGORIZED
'suka-VBI tidak-NEG mewah-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI selfie-IN samsung-VBT ',SAMSUNG,UNCATEGORIZED
'c-JJ bagus-IN ',SAMSUNG,UNCATEGORIZED
'bagus-NN selfi-SC dimanapunantiselfiegelap-VBT ',SAMSUNG,UNCATEGORIZED
'bagus-NN oppo-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-IN samsung-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-IN samsung-VBT ',SAMSUNG,UNCATEGORIZED
'merk-VBT bagus-NN samsungiphone-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'ag-SC pro-JJ mantap-JJ ya-UH ',SAMSUNG,UNCATEGORIZED
'timbul-VBI percaya-JJ samsung-SC ',SAMSUNG,UNCATEGORIZED
'suka-VBI tidak-NEG ',SAMSUNG,UNCATEGORIZED
'ane-IN bagus-IN nii-JJ rapat-JJ samsung-VBT ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI lengkap-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI keras-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-IN ',SAMSUNG,UNCATEGORIZED
'suka-VBI lengkap-JJ ',SAMSUNG,UNCATEGORIZED
'tidak-NEG rusak-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI hands-RB on-FW ',SAMSUNG,UNCATEGORIZED
'canggih-JJ canggih-JJ bagus-NN bagus-IN suka-VBI samsung-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-NN bagus-IN samsung-VBT suka-VBI ',SAMSUNG,UNCATEGORIZED
'mantap-JJ ',SAMSUNG,UNCATEGORIZED
'mantap-JJ tinggal-VBI berani-JJ tidak-NEG kaya-JJ samsung-VBT positif-JJ ',SAMSUNG,UNCATEGORIZED
'cepeet-JJ at-IN samsung-VBT ',SAMSUNG,UNCATEGORIZED
'bilang-SC samsung-VBT jelek-JJ tidak-NEG bagus-NN latih-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'samsung-JJ suka-VBI suka-VBI ',SAMSUNG,UNCATEGORIZED
'suka-VBI juta-CDP murah-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'sih-JJ xiaomi-SYM jt-CDP walopun-CC tidak-NEG suka-VBI merknya-VBT mewah-JJ sonya-NNP ',SAMSUNG,UNCATEGORIZED
'porno-JJ mantap-JJ samsung-VBT ',SAMSUNG,UNCATEGORIZED
'baru-JJ keren-JJ ag-IN bagus-IN murah-JJ ',SAMSUNG,UNCATEGORIZED
'bagus-IN samsung-VBT serbaguna-JJ ',SAMSUNG,UNCATEGORIZED
'serius-JJ hape-RB xiaomi-SYM bagus-IN kah-NNP samsung-JJ bagus-IN beli-VBT ',SAMSUNG,UNCATEGORIZED
'pulang-VBI rusak-JJ grgr-FW cemplung-FW with-FW at-IN samsung-VBT ',SAMSUNG,UNCATEGORIZED
'samsung-VBT suka-VBI ',SAMSUNG,UNCATEGORIZED
'jelek-JJ habis-VBI langsung-JJ rusak-JJ rjt-NNP ',SAMSUNG,UNCATEGORIZED
'besut-JJ ',SAMSUNG,UNCATEGORIZED
'porno-JJ mantap-JJ baru-JJ lengkap-JJ s-SC ',SAMSUNG,UNCATEGORIZED
'tab-FW a-FW jelek-JJ ',SAMSUNG,UNCATEGORIZED
'porno-JJ mantap-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI samsung-JJ ',SAMSUNG,UNCATEGORIZED
'tidak-NEG terus-RB rusak-JJ tab-RB menyamaimelebihi-VBT ',SAMSUNG,UNCATEGORIZED
'porno-JJ mantap-JJ iri-JJ smartphone-SC iphone-NNP ',SAMSUNG,UNCATEGORIZED
'jelek-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI ',SAMSUNG,UNCATEGORIZED
'satuh-CDP suka-VBI samsung-VBT tidak-NEG ',SAMSUNG,UNCATEGORIZED
'cocok-JJ suka-VBI sama-JJ selfie-SC ',SAMSUNG,UNCATEGORIZED
'cocok-JJ suka-VBI sama-JJ sharing-IN ',SAMSUNG,UNCATEGORIZED
'qc-NNP bagus-IN charge-NNP cepat-JJ padu-IN samsung-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI samsung-JJ ag-SC profesional-JJ lega-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI dapetin-MD mysterious-NNP quiz-NNP creativ-NNP ',SAMSUNG,UNCATEGORIZED
'bagus-IN kuat-JJ pengin-VBI nyoba-JJ xiaomi-SYM resmi-JJ baru-JJ ',SAMSUNG,UNCATEGORIZED
'tidak-NEG suka-VBI over-FW the-FW samsung-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI samsung-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI wifi-FW ',SAMSUNG,UNCATEGORIZED
